fname,x1t,y1t,x2t,x2t,x1,y1,x2,x2,iou,dx,dy,dw,dh
ISIC_0000000,0.0479452,0.16998044,0.8806262,0.74592566,0.070381165,0.19697854,0.9238807,0.78474844,0.8290921449661255,0.03284523,0.032910466,0.020818532,0.011824608
ISIC_0000001,0.34344423,0.34892437,0.6350294,0.5963168,0.32671624,0.3366301,0.6559572,0.6298909,0.7470316290855408,0.0020999312,0.010639906,0.03765583,0.045868367
ISIC_0000003,0.24559687,0.17291395,0.83072406,0.809485,0.2378014,0.16935474,0.7807776,0.7894402,0.8700746893882751,0.02887094,0.011802018,0.042151034,0.016485572
ISIC_0000004,0.17710371,0.18073663,0.7035225,0.82708603,0.25776416,0.25223902,0.7515537,0.71711075,0.5715025067329407,0.06434584,0.019236445,0.03262925,0.1814777
ISIC_0000006,0.3258317,0.31176662,0.611546,0.6530313,0.30490476,0.30882376,0.62913465,0.6560611,0.8659747242927551,0.0016691387,4.348159e-05,0.038515627,0.0059726834
ISIC_0000007,0.33757338,0.3528357,0.6761252,0.6452086,0.31452233,0.31192562,0.6674367,0.67136645,0.7452976703643799,0.015869766,0.0073761046,0.014362544,0.06706795
ISIC_0000008,0.19471624,0.20616037,0.7896282,0.8251304,0.20296636,0.19796103,0.7693434,0.80854934,0.9149678349494934,0.006017387,0.012390196,0.02853489,0.008381724
ISIC_0000009,0.17906067,0.27460888,0.71722114,0.74103653,0.17843258,0.27445567,0.6889667,0.73256123,0.9288906455039978,0.014441282,0.004314244,0.027626336,0.00832209
ISIC_0000011,0.23776908,0.2726532,0.7367906,0.6882334,0.29798636,0.25925326,0.6891453,0.67788965,0.7454648017883301,0.006286025,0.0118718445,0.10786256,0.0030561984
ISIC_0000012,0.36399218,0.39781618,0.6076321,0.6315189,0.35127753,0.38201925,0.64241225,0.63933945,0.7599524259567261,0.01103276,0.003988147,0.0474948,0.023617476
ISIC_0000013,0.19373776,0.24429595,0.77201563,0.74788135,0.19234261,0.2716056,0.7732712,0.73116064,0.9087337255477905,6.976724e-05,0.005294472,0.0026506782,0.04403037
ISIC_0000014,0.12426614,0.2570078,0.7896282,0.75081486,0.14012283,0.24295974,0.79823273,0.7434746,0.9238637685775757,0.012230605,0.010694146,0.0072521567,0.0067078173
ISIC_0000015,0.17318983,0.23353976,0.7093933,0.73223597,0.24332769,0.2350826,0.72562736,0.7161529,0.8146515488624573,0.04318595,0.0072700977,0.053903818,0.017625898
ISIC_0000016,0.24168298,0.15140156,0.721135,0.6276076,0.22978334,0.19658284,0.6941277,0.6363946,0.8209866285324097,0.019453496,0.026984155,0.015107721,0.03639424
ISIC_0000017,0.2819149,0.29838353,0.67021275,0.7042737,0.28491288,0.26706764,0.69908136,0.71378875,0.8396989703178406,0.015933305,0.010900378,0.025870621,0.04083094
ISIC_0000018,0.12898935,0.2664969,0.7805851,0.6909876,0.14577818,0.24787003,0.81483847,0.7223417,0.8301926255226135,0.0255211,0.0063636303,0.017464519,0.049980998
ISIC_0000019,0.13962767,0.27579716,0.7593085,0.7979407,0.14307314,0.29487008,0.7800968,0.78069216,0.89723140001297,0.012116909,0.0009121895,0.017342806,0.0363214
ISIC_0000020,0.19547872,0.2239814,0.6236702,0.85174936,0.21527764,0.20182982,0.61453223,0.7793733,0.7986152768135071,0.005330473,0.04726386,0.028936893,0.050224483
ISIC_0000021,0.12632978,0.19608061,0.7234042,0.82517713,0.17313582,0.20573282,0.7604049,0.799446,0.8216940760612488,0.041903347,0.0080394745,0.009805381,0.035383344
