fn,gain_r,gain_g,gain_b
ISIC_0034321,0.9247110678508573,1.0972192542709287,1.0320684676181502
ISIC_0034322,0.8501057604721004,1.3164780311142863,1.3594639116173894
ISIC_0034323,0.9018615357275025,1.1269376090033587,1.0735298074214068
ISIC_0034324,0.8620487846161863,1.3256087474257452,1.17552740220241
ISIC_0034325,0.8501944937114342,1.3162219259667265,1.35742311278921
ISIC_0034326,0.8950415484247031,1.1416334836212478,1.0878972427524556
ISIC_0034328,0.8500421943875461,1.302826007749131,1.3799347650999316
ISIC_0034329,0.9371731128360012,1.1472276650874806,0.9864371897289601
ISIC_0034330,0.8696071200983424,1.3496711934828385,1.1143745948594845
ISIC_0034331,0.8439311438444035,1.472029173250778,1.398331460274687
ISIC_0034332,0.8872387098177489,1.1591865233735383,1.1089066982476918
ISIC_0034333,0.9385649841300489,1.0760662655168236,1.0190435485017648
ISIC_0034334,0.8560098451536509,1.2688135014207642,1.2884108156273884
ISIC_0034335,0.8985993445846157,1.0856301642593609,1.1263079004496546
ISIC_0034336,0.843669515527205,1.4114284690981163,1.4667970893939752
ISIC_0034337,0.8682501687130014,1.2220504844571707,1.1825839224465355
ISIC_0034338,0.8608750034527985,1.2065258368420946,1.2879483934864564
ISIC_0034339,0.8727475226009244,1.2116889673282312,1.1550499796746043
ISIC_0034340,0.9165304572736268,1.1246662881701541,1.0338726977961423
ISIC_0034341,0.9916460729381145,1.0533493301602919,0.9678930729138019
ISIC_0034342,0.8572605238663376,1.3365819190913073,1.2188154448437558
ISIC_0034343,0.9938076123918582,1.0930774112916277,0.9482208312566089
ISIC_0034344,0.8878227107055834,1.1095345320459775,1.154609625171592
ISIC_0034345,0.9101871208394435,1.0910169955051587,1.074916877231586
ISIC_0034346,0.8987788980197514,1.1475077672983256,1.0703756621278488
ISIC_0034347,0.8490266824323109,1.3453010667025556,1.3550241785487949
ISIC_0034348,0.8653403932348366,1.2983150349679864,1.160418805487579
ISIC_0034349,0.8481736106468295,1.4084791384668593,1.3235667941265947
ISIC_0034350,0.871415886792572,1.3399813856942482,1.1069598332233572
ISIC_0034351,0.8491551856340356,1.305760177631422,1.4033631761413266
ISIC_0034352,0.8624907336616955,1.296563024892035,1.1854938226344938
ISIC_0034354,0.8647738546153045,1.2140648630421131,1.2244747573010033
ISIC_0034355,0.948105657015501,1.0374520446245554,1.0333756054681524
ISIC_0034356,0.8652263195999483,1.2276828745357022,1.2063884769394824
ISIC_0034357,0.8908386438827931,1.1956260264351137,1.07255516051458
ISIC_0034359,0.873290825012834,1.1397154867018187,1.2296680543159306
ISIC_0034360,0.891361348443097,1.1250340202233207,1.1176560897759857
ISIC_0034361,0.9253041347130577,1.1154274890013485,1.0200910282521438
ISIC_0034362,0.9176876389407008,1.1640188215754448,1.013316424942573
ISIC_0034363,0.9023942222221741,1.1207751962224604,1.0762252371174825
ISIC_0034364,0.8565209368167724,1.3808289865027348,1.2071923806505718
ISIC_0034365,0.858690749989826,1.365726839634206,1.1904077581187447
ISIC_0034366,0.8588380468276858,1.3041027707690016,1.2189865819180898
ISIC_0034367,0.8589320621990978,1.2866419923486776,1.229628934835393
ISIC_0034368,0.9065766118237302,1.1328271709258042,1.054918177597942
ISIC_0034369,0.8485804718662511,1.300630465975477,1.4335201500929993
ISIC_0034370,0.9238321235786968,1.1041062617377364,1.0296018607344422
ISIC_0034371,0.8795681754808733,1.280677188125828,1.0847777325465369
ISIC_0034372,0.8614266438207492,1.2735452160907499,1.210205162225955
ISIC_0034374,0.8464838181340943,1.417211773361875,1.3595746625443645
ISIC_0034375,0.8779966786505028,1.303367162496975,1.0849633129293232
ISIC_0034376,0.894077362985451,1.0883016250535473,1.146454021993026
ISIC_0034377,0.839093722366833,1.5113087252675939,1.6421506803135562
ISIC_0034378,0.9323992363935073,1.0782115955043452,1.0291538005555567
ISIC_0034379,0.9508469590282145,1.073970002123401,1.0008053937727104
ISIC_0034380,0.8560156396642258,1.2892511691925101,1.2679712313926514
ISIC_0034381,0.9448151864628928,1.1054553372417542,0.9924928802171342
ISIC_0034382,0.9199476686002906,1.11294002456553,1.0327869663050924
ISIC_0034383,0.8862835635202927,1.120507117334591,1.1503957582712503
ISIC_0034385,0.8619536862090438,1.2587735163082086,1.215369486985882
ISIC_0034386,0.8847141522231202,1.2295770500057608,1.0814097728380225
ISIC_0034387,0.9708554839777075,1.0336023643342838,1.0024052234903973
ISIC_0034389,0.8487675189321346,1.3586561683693896,1.3484109517458713
ISIC_0034390,0.9113894422961499,1.1804302313998654,1.020482439334888
ISIC_0034391,0.8594042519708357,1.3035171782438157,1.2129047962288502
ISIC_0034392,0.870300927572308,1.1386009288752894,1.2687949842908253
ISIC_0034393,0.9050076923758066,1.076930745496384,1.1085281328471623
ISIC_0034394,0.9171215168843173,1.125514490108668,1.032044220179234
ISIC_0034395,0.9561979102668087,1.0428054583234954,1.0150930918522187
ISIC_0034396,0.9201397065052255,1.0661147825360962,1.068690204201975
ISIC_0034397,0.8721329111910112,1.2192561081749838,1.1541382623749328
ISIC_0034398,0.8951085344319735,1.1360310925246249,1.0917493443321498
ISIC_0034399,0.8462431056306999,1.394642174924613,1.3857555059365831
ISIC_0034400,0.875971616858738,1.3037751547295846,1.0940962323980108
ISIC_0034401,0.8521352391490284,1.309443250949577,1.31914839224437
ISIC_0034402,0.9181678975801131,1.1951339159700953,1.0020488587999987
ISIC_0034403,0.8473437340635199,1.3566752900703984,1.3912689410149617
ISIC_0034404,0.9009891234561124,1.2296886101399283,1.0291865684246346
ISIC_0034405,0.9244072848656084,1.106705142451752,1.0268220097427307
ISIC_0034406,0.8676099784140261,1.2007370271153637,1.2079933599748756
ISIC_0034407,0.8620200902754139,1.2765961563145183,1.2018968780868957
ISIC_0034408,0.8520889973505757,1.3599287094592838,1.2782886742265915
ISIC_0034409,0.9240732793671584,1.1098520754194627,1.0256799915016699
ISIC_0034410,0.9274754814052356,1.078317573978997,1.0394395333190471
ISIC_0034411,0.8986827744151636,1.18018959036491,1.053457675304997
ISIC_0034412,0.8609623620732737,1.3386355389798184,1.1797177545341597
ISIC_0034413,0.8661685483022972,1.2304398942684187,1.1947551641113245
ISIC_0034414,0.8482210927826123,1.3060404436025477,1.437148350804411
ISIC_0034415,0.8480678505364103,1.329913845114116,1.4026045442766333
ISIC_0034416,0.8855734868046335,1.2484999785445123,1.0709758888968128
ISIC_0034417,0.8427569284999641,1.4233879659217914,1.4977418868714771
ISIC_0034418,0.8417509838460565,1.4927590143310743,1.471799320482938
ISIC_0034419,0.8606427763082677,1.2981636705737831,1.2027452949212545
ISIC_0034420,0.8434334321006731,1.447462117772238,1.4371335355222739
ISIC_0034421,0.8951542076978477,1.1648568389618483,1.0727680303387832
ISIC_0034422,0.9024767514665862,1.077351783575418,1.118918955103633
ISIC_0034423,0.8488249319933509,1.3801134495932201,1.3287207826670806
ISIC_0034424,0.852749173951833,1.3080197823722959,1.3079462773058588
ISIC_0034425,0.9690045880805485,1.0987464633519195,0.9669116701277259
ISIC_0034426,0.8597668185380929,1.3394059380192365,1.1906409147609431
ISIC_0034427,0.9169154965253953,1.1989147301718217,1.0032855493653845
ISIC_0034428,0.8525560876839118,1.3247608925645686,1.296175412825634
ISIC_0034429,0.8455288709157948,1.3613935086906814,1.4531237503106518
ISIC_0034430,0.9858375673697839,1.04382107567116,0.9787517282914023
ISIC_0034431,0.9080831330044306,1.1237937090902799,1.0562394876144994
ISIC_0034433,0.9310894723436586,1.0783870372048636,1.0316758566596125
ISIC_0034434,0.9304070398126836,1.0871213255551317,1.0269276555566351
ISIC_0034435,0.859968770489406,1.3116204030727563,1.2021743457527407
ISIC_0034436,0.8614846911264096,1.2341279844584565,1.2433739224777418
ISIC_0034437,0.905643822296802,1.1111508156933803,1.0727204153555587
ISIC_0034438,0.8972286300425932,1.1385209959233193,1.0817634160788059
ISIC_0034439,0.8562335217095343,1.3647742322135108,1.2171848012778983
ISIC_0034440,0.8501223801623479,1.309428615165464,1.3682078777255553
ISIC_0034441,0.8396646887020094,1.7461669444328327,1.4418188195331454
ISIC_0034442,0.8484745418577618,1.3394581536184844,1.377061030100691
ISIC_0034443,0.9023622108161585,1.0909635169947194,1.1032495577612575
ISIC_0034444,0.8561940068271516,1.3807077962955852,1.2108957273318097
ISIC_0034445,0.859540535886392,1.2969432734520794,1.2154450870643103
ISIC_0034446,0.8979742940622227,1.2510434417757592,1.0311541700123528
ISIC_0034447,0.8789700000928886,1.2077010040759704,1.119044876997188
ISIC_0034448,0.8663127102993393,1.283803166088848,1.1597467761304852
ISIC_0034449,0.9664869622475986,1.1415250181868286,0.9546483867797788
ISIC_0034450,0.8956591043820331,1.1112898131492095,1.1109130974705195
ISIC_0034451,0.9639370697424847,1.066936705022514,0.987934475215488
ISIC_0034452,0.9782177690923017,1.0494172418243795,0.9827527518251289
ISIC_0034453,0.8950099225514769,1.1377552019995816,1.0908496951738431
ISIC_0034454,0.8498778999753693,1.307578627016879,1.3778131801009574
ISIC_0034455,0.9648710447914506,1.1055586938308692,0.9683269706909862
ISIC_0034456,0.9558010093074489,1.1047615258266201,0.9786297143754178
ISIC_0034457,0.9278000899898531,1.0734263126904338,1.0425962010933172
ISIC_0034458,0.8525480931846104,1.42992185160749,1.2372750486155577
ISIC_0034459,0.9088488608181006,1.1317403821785388,1.049184407928307
ISIC_0034460,0.9775029331497802,1.0538633455604471,0.9807403484794511
ISIC_0034461,0.8380523387146975,1.5561437274687429,1.6890401756011701
ISIC_0034463,0.8593274390385135,1.296053916126309,1.2184480889204683
ISIC_0034464,0.9430924977948514,1.1144774441348209,0.9908260123966294
ISIC_0034465,0.8427317730341504,1.4105595439210117,1.5190900736839184
ISIC_0034466,0.8470369305969963,1.3726800511477821,1.383001014557968
ISIC_0034467,0.9822277846946943,1.0381933702777033,0.9860710474757315
ISIC_0034468,0.9492637447290013,1.0650135407922154,1.008939669071817
ISIC_0034469,0.9037851082209433,1.1119200112125613,1.0783465896851359
ISIC_0034470,0.8701594903748087,1.2414528038668857,1.1540788656361936
ISIC_0034471,0.893624476465039,1.1722021655481243,1.074200716349737
ISIC_0034472,0.9189268755498609,1.124121256607856,1.0287469729540968
ISIC_0034474,0.9711201777172964,1.0266480825958737,1.0079253457097168
ISIC_0034475,0.8626312079613826,1.3439331011940039,1.1633528709383705
ISIC_0034476,0.8604053444330928,1.3520528548770663,1.1794306368319336
ISIC_0034477,0.979991197802387,1.0971501711925482,0.9574922974378898
ISIC_0034478,0.9316089398573686,1.0925860433616372,1.021055262148696
ISIC_0034480,0.9135558392107366,1.1171262389251189,1.0455997010950868
ISIC_0034481,0.8559209945069228,1.3075073459296664,1.2544958443249825
ISIC_0034482,0.9163830012884574,1.1332449295459985,1.02964226607663
ISIC_0034483,0.8463448226092891,1.3592917387204335,1.4227945132154152
ISIC_0034484,0.8554992528338582,1.267130389886311,1.299578276798808
ISIC_0034485,0.9376662836438773,1.1549065080863896,0.9831640886133777
ISIC_0034486,0.9115681167593943,1.1852713195534124,1.0183814710527999
ISIC_0034487,0.9041448488567027,1.1045442111746968,1.0832798498116845
ISIC_0034488,0.9669325967343319,1.079239788531382,0.9778833832379167
ISIC_0034489,0.9341032572579673,1.058042083249222,1.0418682996979116
ISIC_0034490,0.9950620567269612,1.0399160070832438,0.9729072906129659
ISIC_0034491,0.9719885344071214,1.1413927999993105,0.9498248840064083
ISIC_0034492,0.9303909872269273,1.1172175106890236,1.0096465448671894
ISIC_0034493,0.9862617574616556,1.050855904913538,0.9740499134223642
ISIC_0034494,0.9045355033096342,1.1355085511875178,1.059309356377331
ISIC_0034495,0.9559254384556506,1.0756775763592232,0.9928607229919123
ISIC_0034496,0.9724839422479409,1.1428640946047586,0.9490018545977438
ISIC_0034497,0.9210340443972788,1.069553568034343,1.062806047844294
ISIC_0034498,0.9642776207082451,1.1348363785114062,0.958704505031982
ISIC_0034499,0.9688434951018229,1.0698402974756784,0.9807184301277756
ISIC_0034500,1.0069955660088201,1.0358773835690525,0.9658781868948516
ISIC_0034501,0.9254113256832676,1.2025554961910516,0.9876864124071076
ISIC_0034502,0.9808477571287755,1.0808356471020677,0.9635283838445117
